GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OrderMS,com.example.OrderMS.service,OrderService,0,13,0,0,0,3,0,3,0,3
OrderMS,com.example.OrderMS,OrderMsApplication,5,3,0,0,2,1,1,1,1,1
OrderMS,com.example.OrderMS.controller,OrderController,0,14,0,0,0,4,0,3,0,3
